,property_type,society,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,Built_up_area,Carpet_area,Super_built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
2186,flat,dlf the primus,sector 82,2.7,10481.0,2576.0,Super Built up area 2576(239.32 sq.m.)Carpet area: 1306 sq.ft. (121.33 sq.m.),4,4,4,18.0,East,Moderately Old,,1306.0,2576.0,0,1,0,0,0,unfurnished,51
2187,flat,pyramid urban homes 2,sector 86,0.42,8483.0,495.0,Carpet area: 501 (46.54 sq.m.),2,2,1,2.0,North-East,New Property,,501.0,,1,1,0,1,1,unfurnished,95
2188,flat,dlf the ultima,sector 81,3.45,12356.0,2792.0,Super Built up area 2792(259.39 sq.m.),4,4,4,25.0,East,Moderately Old,,,2792.0,0,1,0,0,0,unfurnished,85
2189,flat,dlf the ultima,sector 81,3.25,11805.0,2753.0,Super Built up area 2753(255.76 sq.m.),4,4,4,11.0,North-West,Moderately Old,,,2753.0,0,1,0,0,0,unfurnished,25
2190,flat,apex our homes,sector 37,0.35,3783.0,925.0,Super Built up area 925(85.94 sq.m.)Built Up area: 850 sq.ft. (78.97 sq.m.)Carpet area: 800 sq.ft. (74.32 sq.m.),2,2,1,7.0,East,Relatively New,850.0,800.0,925.0,0,0,0,0,0,semifurnished,202
2191,flat,apex our homes,sector 37,0.33,3567.0,925.0,Super Built up area 925(85.94 sq.m.)Built Up area: 850 sq.ft. (78.97 sq.m.)Carpet area: 800 sq.ft. (74.32 sq.m.),2,2,1,3.0,West,Relatively New,850.0,800.0,925.0,0,0,0,0,0,semifurnished,202
2192,flat,ramprastha primera,sector 37,1.1,6111.0,1800.0,Super Built up area 1800(167.23 sq.m.)Built Up area: 1700 sq.ft. (157.94 sq.m.)Carpet area: 1600 sq.ft. (148.64 sq.m.),3,3,3,6.0,North-West,Relatively New,1700.0,1600.0,1800.0,0,0,0,0,0,unfurnished,187
2193,flat,ramprastha primera,sector 37,1.08,6000.0,1800.0,Super Built up area 1800(167.23 sq.m.)Built Up area: 1700 sq.ft. (157.94 sq.m.)Carpet area: 1600 sq.ft. (148.64 sq.m.),3,3,3,9.0,South,Relatively New,1700.0,1600.0,1800.0,0,0,0,0,0,unfurnished,196
2194,flat,bptp terra,sector 37,1.4,7730.0,1811.0,Super Built up area 1811(168.25 sq.m.)Built Up area: 1711 sq.ft. (158.96 sq.m.)Carpet area: 1611 sq.ft. (149.67 sq.m.),3,3,3,5.0,South-East,Relatively New,1711.0,1611.0,1811.0,0,0,0,0,0,unfurnished,187
2195,flat,bptp terra,sector 37,1.65,7530.0,2191.0,Super Built up area 2191(203.55 sq.m.)Built Up area: 2091 sq.ft. (194.26 sq.m.)Carpet area: 1991 sq.ft. (184.97 sq.m.),4,3,4,6.0,West,Relatively New,2091.0,1991.0,2191.0,0,0,0,0,0,semifurnished,187
